,#,선수명,팀명,승,패,세,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR,기록년도,플레이어 id,완투,완봉,타자,안타,홈런,실점,자책,삼진,볼넷,고4,HBP,폭투,보크,PK,삼진%,볼넷%,삼/볼,피안타율,피출루율,WHIP
108,54,양일환,삼성,2,5,1,20,7,64.0,2.81,4.64,0.98,0.249,71.30,4.64,-0.19,4.55,4.39,-0.66,1984,2017,1,0,272,57,7,34,33,20,33,6,4,1,0,0,7.4,12.1,0.61,0.254,0.345,1.41
109,55,인호봉,삼미,0,0,0,8,4,17.7,2.04,6.62,1.02,0.211,68.50,5.60,-0.40,6.43,6.22,-0.69,1984,2211,0,0,81,14,2,12,11,4,13,0,5,0,0,0,4.9,16.0,0.31,0.226,0.355,1.53
110,56,이문한,롯데,1,4,0,16,4,50.0,3.06,3.06,1.44,0.272,65.20,5.58,-0.77,4.77,4.62,-0.71,1984,2127,0,0,214,52,8,32,31,17,17,1,2,1,0,0,7.9,7.9,1.00,0.283,0.338,1.38
111,57,김문희,롯데,0,6,0,19,5,56.3,1.92,3.51,1.12,0.317,68.70,5.11,-0.96,4.97,4.71,-0.84,1984,1609,1,0,254,73,7,38,32,12,22,1,5,0,0,0,4.7,8.7,0.55,0.332,0.382,1.69
112,58,신태중,삼미,1,6,1,14,4,48.3,5.59,6.33,1.49,0.315,61.10,6.89,-1.85,5.21,5.35,-0.89,1984,1991,0,0,227,55,8,43,37,30,34,1,4,1,0,0,13.2,15.0,0.88,0.301,0.403,1.84
113,59,정성만,삼미,8,10,1,29,6,150.0,4.02,4.98,1.20,0.267,72.20,4.86,-0.82,4.73,4.70,-1.56,1984,2280,3,0,666,148,20,86,81,67,83,3,6,3,1,0,10.1,12.5,0.81,0.263,0.355,1.54
114,1,최동원,롯데,20,9,8,42,35,225.0,6.44,1.64,0.28,0.257,76.00,1.92,7.33,1.56,1.79,9.43,1985,2366,14,4,865,170,7,60,48,161,41,2,8,3,1,0,18.6,4.7,3.93,0.214,0.250,0.94
115,2,김시진,삼성,25,5,10,47,27,269.7,6.71,4.04,0.27,0.233,82.50,2.00,10.87,2.28,2.57,8.35,1985,1651,10,2,1064,172,8,63,60,201,121,3,15,10,1,0,18.9,11.4,1.66,0.189,0.283,1.09
116,3,선동열,해태,7,4,8,25,22,111.0,8.35,1.62,0.16,0.247,71.10,1.70,3.36,0.66,1.08,6.59,1985,1931,1,0,424,74,2,30,21,103,20,4,3,3,0,0,24.3,4.7,5.15,0.187,0.226,0.85
117,4,김일융,삼성,25,6,0,34,16,226.0,4.26,3.07,0.52,0.267,73.90,2.79,4.39,2.98,3.00,4.30,1985,1674,11,3,920,200,13,87,70,107,77,6,5,4,0,0,11.6,8.4,1.39,0.245,0.308,1.23
118,5,박동수,롯데,9,10,0,32,11,168.0,4.50,1.93,0.59,0.275,72.60,2.73,2.53,2.93,2.97,3.07,1985,1830,7,2,695,158,11,69,51,84,36,1,17,2,1,0,12.1,5.2,2.33,0.253,0.292,1.15
119,6,장명부,미/청,11,25,5,45,20,246.0,4.68,3.66,0.80,0.340,62.60,5.30,-3.68,3.52,3.60,2.72,1985,2233,10,0,1117,304,22,175,145,128,100,7,12,5,0,0,11.5,9.0,1.28,0.313,0.374,1.64
120,7,최일언,OB,10,14,3,38,24,144.7,5.47,4.67,0.25,0.270,73.40,2.43,1.87,2.77,2.93,2.44,1985,2385,2,0,610,119,4,57,39,88,75,3,5,2,0,0,14.4,12.3,1.17,0.235,0.327,1.34
121,8,황규봉,삼성,14,7,4,34,9,165.7,2.99,2.06,0.65,0.263,73.10,3.04,2.92,3.31,3.19,2.25,1985,2467,4,0,679,158,12,66,56,55,38,2,4,1,2,0,8.1,5.6,1.45,0.254,0.297,1.18
122,9,정삼흠,MBC,9,12,5,41,28,192.7,4.62,3.36,0.61,0.264,77.10,3.13,3.34,3.25,3.32,2.15,1985,2278,7,3,801,169,13,72,67,99,72,2,12,5,0,0,12.4,9.0,1.38,0.242,0.311,1.25
123,10,계형철,OB,11,11,2,34,14,194.0,3.90,2.92,0.79,0.246,77.70,2.78,4.20,3.56,3.55,1.96,1985,1520,8,0,789,165,17,71,60,84,63,0,7,6,0,0,10.6,8.0,1.33,0.236,0.298,1.18
124,11,김용남,해태,11,6,8,43,20,134.7,4.95,1.74,0.94,0.309,65.20,4.48,-0.67,2.97,3.05,1.93,1985,1659,1,0,560,147,14,74,67,74,26,2,3,1,0,0,13.2,4.6,2.85,0.287,0.317,1.28
125,12,이선희,MBC,5,7,2,28,9,138.0,3.20,3.59,0.33,0.241,77.30,2.28,3.63,3.25,3.17,1.87,1985,2149,4,1,569,111,5,44,35,49,55,3,4,2,0,0,8.6,9.7,0.89,0.227,0.303,1.20
126,13,양상문,롯데,6,3,4,33,20,101.0,5.17,2.23,0.62,0.334,66.30,3.83,-0.71,2.73,2.84,1.74,1985,2012,1,1,446,120,7,57,43,58,25,0,5,2,0,0,13.0,5.6,2.32,0.302,0.339,1.44
127,14,배경환,롯데,6,6,0,22,3,98.7,3.47,1.92,0.55,0.261,74.80,2.83,2.00,2.98,2.91,1.72,1985,1892,2,1,406,93,6,36,31,38,21,2,4,3,0,0,9.4,5.2,1.81,0.247,0.286,1.16
128,15,김진욱,OB,10,8,0,30,7,143.0,3.59,3.46,0.44,0.273,75.60,3.02,2.53,3.43,3.40,1.62,1985,1706,4,2,605,134,7,56,48,57,55,0,10,4,1,0,9.4,9.1,1.04,0.254,0.323,1.32
129,16,문희수,해태,12,8,1,39,11,144.7,3.98,2.99,0.68,0.300,72.70,3.48,1.02,3.38,3.37,1.60,1985,1811,2,0,631,159,11,69,56,64,48,1,5,1,2,0,10.1,7.6,1.33,0.281,0.336,1.43
130,17,박철순,OB,1,4,0,9,5,50.3,6.08,2.50,0.36,0.248,67.10,2.68,0.88,2.10,2.31,1.53,1985,1877,2,0,193,36,2,19,15,34,14,0,2,1,0,0,17.6,7.3,2.43,0.209,0.267,0.99
131,18,김정행,롯데,7,5,0,19,6,115.3,4.29,4.21,0.47,0.271,78.00,2.73,2.54,3.38,3.42,1.52,1985,1687,5,2,482,103,6,42,35,55,54,0,4,2,0,0,11.4,11.2,1.02,0.248,0.332,1.36
132,19,권영호,삼성,6,6,26,54,33,174.7,4.17,3.50,0.72,0.273,75.00,3.50,1.83,3.44,3.46,1.37,1985,1551,0,0,746,170,14,75,68,81,68,4,3,4,1,0,10.9,9.1,1.19,0.256,0.324,1.36
133,20,오영일,MBC,8,8,1,28,15,127.3,2.97,3.32,0.42,0.287,73.20,3.53,1.24,3.50,3.39,1.00,1985,2049,3,0,555,132,6,56,50,42,47,1,7,1,0,0,7.6,8.5,0.89,0.275,0.335,1.41
134,21,황태환,OB,4,8,1,35,15,97.0,4.64,3.71,0.56,0.252,70.20,3.53,0.72,3.13,3.20,0.99,1985,2472,1,1,402,79,6,42,38,50,40,2,2,2,0,0,12.4,10.0,1.25,0.228,0.308,1.23
135,22,조도연,해태,4,6,2,36,7,123.7,3.35,2.55,0.73,0.288,73.20,3.71,0.97,3.52,3.45,0.88,1985,2312,1,0,522,131,10,56,51,46,35,1,5,4,0,0,8.8,6.7,1.31,0.276,0.325,1.34
136,23,강만식,해태,13,8,0,41,8,198.7,2.85,1.99,1.00,0.243,77.50,3.31,3.83,4.08,3.95,0.80,1985,1504,5,2,803,178,22,78,73,63,44,0,19,1,0,0,7.8,5.5,1.43,0.247,0.288,1.12
137,24,진동한,삼성,4,2,0,24,8,81.7,2.64,3.09,0.33,0.259,68.50,2.98,0.70,3.32,3.18,0.76,1985,2344,1,0,339,74,3,36,27,24,28,1,3,2,0,0,7.1,8.3,0.86,0.247,0.310,1.25
138,25,임호균,롯데,10,10,0,27,4,145.0,2.67,4.78,0.50,0.269,74.30,3.23,2.14,4.03,3.91,0.72,1985,2232,3,1,617,136,8,63,52,43,77,0,0,3,0,0,7.0,12.5,0.56,0.261,0.353,1.47
139,26,김정수b,MBC,2,3,0,15,3,60.0,3.75,5.70,0.00,0.262,75.60,2.70,1.15,3.31,3.31,0.71,1985,1684,2,0,258,50,0,22,18,25,38,1,2,4,1,0,9.7,14.7,0.66,0.233,0.346,1.47
140,27,하기룡,MBC,5,10,2,26,13,111.0,2.51,4.30,0.24,0.275,73.20,2.92,1.42,3.61,3.47,0.70,1985,2434,4,0,468,103,3,46,36,31,53,2,4,3,0,0,6.6,11.3,0.58,0.262,0.346,1.41
141,28,박상열,OB,3,6,0,22,5,109.0,2.06,3.39,0.50,0.275,68.20,4.13,0.71,3.91,3.72,0.65,1985,1841,2,0,462,109,6,55,50,25,41,0,5,1,1,0,5.4,8.9,0.61,0.273,0.336,1.38
142,29,김성한b,해태,4,3,1,10,7,40.3,2.68,4.02,0.22,0.254,68.40,3.35,0.26,3.17,3.04,0.42,1985,1640,1,0,170,35,1,18,15,12,18,4,1,1,0,0,7.1,10.6,0.67,0.241,0.321,1.31
143,30,김용수,MBC,1,2,2,6,4,21.7,5.82,2.91,0.83,0.299,76.30,3.74,0.19,2.75,2.93,0.35,1985,1661,0,0,93,22,2,9,9,14,7,1,0,1,0,0,15.1,7.5,2.00,0.272,0.322,1.34
144,31,이충우,롯데,0,0,0,12,10,29.3,3.99,2.45,0.61,0.339,59.70,5.22,-0.70,3.12,3.11,0.25,1985,2197,0,0,133,39,2,21,17,13,8,0,1,1,0,0,9.8,6.0,1.62,0.322,0.356,1.60
145,32,김재현,미/청,1,4,0,12,5,46.3,2.72,2.33,0.78,0.321,73.80,3.88,0.14,3.63,3.49,0.25,1985,1681,1,0,209,57,4,23,20,14,12,3,3,1,0,0,6.7,5.7,1.17,0.313,0.354,1.49
146,33,정선두,OB,0,1,0,7,5,9.7,2.79,1.86,0.00,0.273,54.50,4.66,-0.01,2.33,2.19,0.22,1985,2279,0,0,39,9,0,5,5,3,2,0,0,1,0,0,7.7,5.1,1.50,0.257,0.289,1.14
147,34,송진호,삼성,0,1,0,7,5,12.7,3.55,3.55,0.00,0.417,69.20,5.68,-0.18,2.86,2.82,0.17,1985,1963,0,0,59,20,0,8,8,5,5,0,1,0,0,0,8.5,8.5,1.00,0.385,0.431,1.97
148,35,정순명,MBC,0,4,0,7,0,18.0,2.50,3.50,0.50,0.357,57.00,6.00,-0.48,3.67,3.53,0.16,1985,2284,0,0,86,26,1,15,12,5,7,0,0,0,1,0,5.8,8.1,0.71,0.347,0.398,1.83
149,36,강철원,OB,0,0,0,3,0,5.3,3.38,1.69,0.00,0.333,75.00,3.38,0.10,2.08,2.01,0.16,1985,1515,0,0,24,7,0,2,2,2,1,0,0,0,0,0,8.3,4.2,2.00,0.304,0.333,1.50
150,37,권기홍,삼성,0,0,0,3,2,3.0,9.00,3.00,0.00,0.400,80.00,3.00,0.05,0.68,1.19,0.13,1985,1545,0,0,14,4,0,1,1,3,1,0,0,0,0,0,21.4,7.1,3.00,0.308,0.357,1.67
151,38,장호연,OB,7,4,1,29,13,128.7,3.22,4.41,0.63,0.251,70.60,3.50,0.83,4.02,3.95,0.13,1985,2254,5,0,531,110,9,61,50,46,63,0,4,1,0,0,8.7,11.9,0.73,0.244,0.332,1.34
152,39,유종겸,MBC,10,8,1,33,17,135.3,2.66,3.46,0.67,0.235,75.30,2.99,2.07,3.94,3.80,0.12,1985,2073,3,0,547,111,10,52,45,40,52,1,5,8,0,0,7.3,9.5,0.77,0.235,0.306,1.20
153,40,안창완,롯데,0,1,0,2,0,8.7,4.15,3.12,1.04,0.276,47.20,3.12,-0.18,3.79,3.81,0.08,1985,2007,0,0,39,9,1,7,3,4,3,0,0,0,0,0,10.3,7.7,1.33,0.265,0.324,1.38
154,41,조용철,롯데,0,0,0,5,4,7.3,2.45,3.68,0.00,0.467,47.10,9.82,-0.54,3.02,2.87,0.07,1985,2322,0,0,36,14,0,9,8,2,3,0,0,0,0,0,5.6,8.3,0.67,0.452,0.486,2.32
155,42,김재박,MBC,1,0,0,1,1,0.7,0.00,0.00,0.00,0.000,0.00,0.00,0.04,2.63,2.19,0.01,1985,1678,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00,0.000,0.000,0.00
156,43,최계훈,미/청,6,6,0,20,12,118.3,4.11,4.18,0.99,0.252,78.00,3.57,1.52,4.24,4.25,0.00,1985,2363,9,1,505,106,13,51,47,54,55,0,6,1,1,0,10.7,10.9,0.98,0.245,0.328,1.36
157,44,이길환,MBC,1,2,0,8,2,35.3,1.53,3.82,0.51,0.222,69.40,3.31,0.43,4.36,4.12,0.00,1985,2112,1,0,148,28,2,16,13,6,15,0,3,2,0,0,4.1,10.1,0.40,0.230,0.307,1.22
158,45,한오종,OB,0,0,0,1,1,0.3,0.00,54.05,0.00,0.000,100.00,0.00,0.02,20.11,20.21,-0.07,1985,2443,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0.0,50.0,0.00,0.000,0.500,6.01
159,46,성낙수,삼성,0,0,0,3,1,4.3,4.15,2.08,2.08,0.357,89.30,4.15,0.01,4.96,4.96,-0.08,1985,1934,0,0,19,6,1,2,2,2,1,0,0,0,0,0,10.5,5.3,2.00,0.353,0.389,1.62
160,47,천창호,롯데,1,1,0,7,3,23.0,3.91,2.74,1.17,0.250,65.90,4.70,-0.16,4.08,4.06,-0.08,1985,2361,0,0,98,21,3,13,12,10,7,1,2,0,0,0,10.2,7.1,1.43,0.250,0.304,1.22
161,48,인호봉,미/청,0,0,0,4,3,5.3,1.69,1.69,1.69,0.375,52.10,6.75,-0.35,5.07,4.82,-0.10,1985,2211,0,0,27,10,1,6,4,1,1,0,0,0,0,0,3.7,3.7,1.00,0.385,0.407,2.06
162,49,황기선,해태,0,1,0,17,6,34.7,3.89,4.93,0.78,0.322,59.90,6.49,-1.01,4.01,4.01,-0.10,1985,2468,0,0,159,40,3,27,25,15,19,3,2,1,0,0,9.4,11.9,0.79,0.305,0.388,1.70
163,50,방수원,해태,1,1,0,10,5,23.3,3.47,5.01,0.77,0.206,77.20,3.47,0.30,4.25,4.21,-0.13,1985,1891,0,0,96,16,2,9,9,9,13,1,1,0,0,0,9.4,13.5,0.69,0.203,0.315,1.24
164,51,김준희,삼성,0,0,0,1,1,2.0,4.50,4.50,4.50,0.444,43.50,18.00,-0.26,9.14,9.19,-0.14,1985,1702,0,0,12,5,1,4,4,1,1,0,0,0,0,0,8.3,8.3,1.00,0.455,0.500,3.00
165,52,김문희,롯데,0,0,0,1,1,2.0,4.50,4.50,4.50,0.286,38.50,13.50,-0.19,9.14,9.19,-0.14,1985,1609,0,0,10,3,1,3,3,1,1,0,0,0,0,0,10.0,10.0,1.00,0.333,0.400,2.00
166,53,감사용,삼미/청보,0,1,0,12,7,30.3,5.04,2.37,1.48,0.350,64.40,6.53,-0.85,4.21,4.30,-0.21,1985,1499,0,0,141,41,5,23,22,17,8,0,3,0,0,0,12.1,5.7,2.12,0.331,0.368,1.62
167,54,안언학,MBC,0,2,0,10,6,15.0,2.40,5.40,0.60,0.316,45.50,9.00,-0.95,4.87,4.73,-0.21,1985,2002,0,0,74,19,1,17,15,4,9,0,2,0,2,0,5.4,12.2,0.44,0.311,0.394,1.87
168,55,신태순,해태,0,6,0,21,11,71.7,3.14,3.64,0.75,0.287,70.20,3.64,-0.35,4.05,3.96,-0.23,1985,1990,0,0,316,77,6,39,29,25,29,1,5,2,0,0,7.9,9.2,0.86,0.283,0.345,1.48
169,56,윤석환,OB,5,1,6,41,21,110.3,3.59,2.45,1.06,0.283,77.20,3.34,0.76,3.93,3.88,-0.24,1985,2092,1,0,453,114,13,48,41,44,30,0,5,2,1,0,9.7,6.6,1.47,0.279,0.324,1.31
170,57,김기철,해태,0,0,0,5,4,7.3,6.14,6.14,2.45,0.400,70.40,7.36,-0.35,6.18,6.42,-0.25,1985,1585,0,0,37,12,2,7,6,5,5,0,0,1,0,0,13.5,13.5,1.00,0.375,0.459,2.32
171,58,차준섭,MBC,0,0,0,3,1,4.3,0.00,0.00,4.15,0.450,48.80,14.54,-0.46,8.65,8.19,-0.27,1985,2357,0,0,22,11,2,7,7,0,0,0,0,0,0,0,0.0,0.0,0.00,0.500,0.500,2.54
172,59,김봉근,MBC,2,7,0,21,9,113.3,2.94,2.14,1.27,0.257,79.40,3.34,1.52,4.32,4.20,-0.27,1985,1618,4,0,461,110,16,47,42,37,27,1,5,0,1,0,8.0,5.9,1.37,0.263,0.307,1.21
173,60,이광권,MBC,0,0,0,4,2,9.3,0.96,2.89,1.93,0.229,78.40,4.82,-0.03,6.05,5.73,-0.27,1985,2107,0,0,41,10,2,5,5,1,3,0,0,0,0,0,2.4,7.3,0.33,0.263,0.317,1.39
174,61,정은배,미/청,7,9,2,29,13,141.0,2.94,3.83,0.89,0.280,75.60,3.64,1.12,4.32,4.21,-0.33,1985,2292,5,1,607,142,14,66,57,46,60,3,8,4,2,0,7.6,9.9,0.77,0.275,0.350,1.43
175,62,이상윤,해태,0,2,0,2,0,5.0,3.60,5.40,5.40,0.375,76.90,10.80,-0.29,10.45,10.39,-0.35,1985,2139,0,0,25,9,3,6,6,2,3,1,0,0,0,0,8.0,12.0,0.67,0.429,0.500,2.40
176,63,정성만,미/청,7,14,3,37,19,172.7,2.87,3.34,0.99,0.309,69.60,5.00,-0.94,4.34,4.22,-0.39,1985,2280,11,1,767,207,19,103,96,55,64,0,7,4,2,0,7.2,8.3,0.86,0.307,0.363,1.57
177,64,이진우,롯데,0,6,3,34,13,69.0,5.74,6.26,1.04,0.323,73.80,4.30,-0.60,4.43,4.64,-0.60,1985,2195,0,0,304,70,8,40,33,44,48,0,3,5,1,0,14.5,15.8,0.92,0.288,0.404,1.71
178,65,박정후,미/청,0,3,1,16,6,38.7,3.26,7.91,0.93,0.310,61.80,6.98,-1.41,5.71,5.68,-0.90,1985,1863,0,0,186,43,4,34,30,14,34,0,3,5,0,0,7.5,18.3,0.41,0.307,0.433,1.99
179,66,최상주,해태,5,7,0,32,9,31.0,9.29,10.45,2.03,0.301,68.60,12.19,-3.59,6.53,7.13,-1.11,1985,2369,0,0,403,101,7,52,42,32,36,1,7,1,0,0,7.9,8.9,0.89,0.289,0.354,4.42
180,67,양일환,삼성,3,5,1,19,8,61.7,2.48,4.09,1.46,0.249,70.90,5.11,-0.56,5.31,5.16,-1.15,1985,2017,1,0,269,62,10,37,35,17,28,2,3,1,1,0,6.3,10.4,0.61,0.263,0.341,1.46
181,68,신태중,미/청,3,4,4,34,18,103.7,4.17,3.65,1.48,0.298,66.60,4.77,-2.26,4.80,4.82,-1.52,1985,1991,1,0,459,119,17,72,55,48,42,0,7,11,1,0,10.5,9.2,1.14,0.298,0.359,1.55
182,69,오문현,미/청,4,4,0,23,7,75.3,1.91,2.75,2.27,0.309,74.70,6.33,-1.58,6.63,6.40,-2.60,1985,2041,0,0,341,101,19,54,53,16,23,0,11,2,0,0,4.7,6.7,0.70,0.340,0.384,1.65
183,1,선동열,해태,24,6,6,39,22,262.7,7.33,1.78,0.07,0.221,83.20,0.99,12.91,0.84,1.16,14.53,1986,1931,19,8,972,153,2,38,29,214,52,5,7,3,2,0,22.0,5.3,4.12,0.170,0.216,0.78
184,2,최동원,롯데,19,14,2,39,21,267.0,7.01,1.85,0.24,0.268,80.30,1.55,9.01,1.20,1.49,11.84,1986,2366,17,4,1039,204,7,60,46,208,55,5,6,2,0,0,20.0,5.3,3.78,0.215,0.257,0.97
185,3,김건우,MBC,18,6,0,37,29,229.3,4.00,2.43,0.24,0.235,77.00,1.81,6.56,2.45,2.44,4.92,1986,1565,9,2,891,170,6,62,46,102,62,1,9,4,3,0,11.4,7.0,1.65,0.212,0.268,1.01
186,4,이상군,빙그레,12,17,1,35,30,243.3,3.85,1.59,0.63,0.259,73.90,2.63,4.31,2.79,2.76,4.07,1986,2133,19,4,972,216,17,88,71,104,43,3,11,0,0,0,10.7,4.4,2.42,0.244,0.278,1.06
187,5,최일언,OB,19,4,2,33,23,221.7,4.10,4.10,0.08,0.213,81.10,1.58,7.99,2.67,2.69,3.85,1986,2385,12,6,881,140,2,49,39,101,101,3,6,3,0,0,11.5,11.5,1.00,0.187,0.283,1.09
188,6,박동수,롯데,8,7,3,30,13,148.7,4.12,1.88,0.12,0.271,71.20,2.54,2.16,2.15,2.14,3.59,1986,1830,5,0,613,133,2,53,42,68,31,4,13,1,0,0,11.1,5.1,2.19,0.243,0.281,1.10
189,7,김용수,MBC,9,9,26,60,3,178.0,3.74,2.98,0.20,0.229,81.30,1.67,5.72,2.50,2.46,2.84,1986,1661,0,0,694,128,4,40,33,74,59,7,3,0,0,0,10.7,8.5,1.25,0.206,0.275,1.05
190,8,한희민,빙그레,9,13,0,29,19,175.3,6.31,2.52,0.92,0.245,75.40,3.13,2.27,2.77,3.00,2.59,1986,2448,12,3,700,136,18,67,61,123,49,1,10,2,3,0,17.6,7.0,2.51,0.221,0.276,1.06
191,9,박노준,OB,5,6,7,33,9,110.3,4.98,2.94,0.33,0.265,77.00,2.28,2.21,2.33,2.42,2.22,1986,1827,1,0,442,91,4,34,28,61,36,2,2,3,0,0,13.8,8.1,1.69,0.235,0.296,1.15
192,10,김일융,삼성,13,4,0,19,19,138.7,3.89,2.92,0.52,0.251,77.00,2.53,3.02,2.91,2.89,2.22,1986,1674,7,2,573,120,8,47,39,60,45,4,2,1,0,0,10.5,7.9,1.33,0.235,0.295,1.19
193,11,유종겸,MBC,10,7,0,41,15,145.7,5.19,3.03,0.49,0.282,71.30,3.03,0.83,2.61,2.73,2.10,1986,2073,1,1,599,131,8,61,49,84,49,1,5,5,0,0,14.0,8.2,1.71,0.251,0.312,1.24
194,12,차동철,해태,10,4,3,33,21,131.0,2.40,1.65,0.27,0.283,74.30,2.82,2.26,2.76,2.58,2.02,1986,2350,3,2,535,134,4,46,41,35,24,1,5,1,0,0,6.5,4.5,1.46,0.270,0.303,1.21
195,13,성준,삼성,15,5,2,29,19,149.0,3.62,2.42,0.54,0.259,78.60,2.36,3.14,2.91,2.86,1.93,1986,1937,6,1,607,135,9,48,39,60,40,3,3,2,2,0,9.9,6.6,1.50,0.244,0.294,1.17
196,14,김시진,삼성,16,6,3,30,26,196.7,3.98,5.03,0.27,0.262,77.80,2.47,4.04,3.28,3.29,1.84,1986,1651,11,1,822,161,6,68,54,87,110,4,6,3,0,0,10.6,13.4,0.79,0.237,0.341,1.38
197,15,김기태b,청보,9,14,5,42,12,175.3,5.60,3.39,0.62,0.282,74.90,3.18,0.96,2.90,3.06,1.68,1986,1587,6,1,746,158,12,73,62,109,66,5,17,6,0,0,14.6,8.8,1.65,0.248,0.318,1.28
198,16,장호연,OB,13,9,3,31,22,165.7,2.39,2.44,0.38,0.237,79.60,1.90,4.64,3.19,3.02,1.51,1986,2254,10,4,659,136,7,46,35,44,45,0,6,1,2,0,6.7,6.8,0.98,0.229,0.283,1.09
199,17,오명록,롯데,4,4,0,23,8,71.3,6.56,3.53,0.38,0.309,67.50,3.91,-0.31,2.25,2.51,1.44,1986,2040,0,0,308,70,3,36,31,52,28,0,4,2,1,0,16.9,9.1,1.86,0.258,0.327,1.37
200,18,김정수c,해태,9,6,5,41,13,125.7,6.59,6.37,0.36,0.259,74.30,2.65,0.65,3.03,3.32,0.97,1986,1685,2,0,547,93,5,53,37,92,89,1,4,3,0,0,16.8,16.3,1.03,0.213,0.346,1.45
201,19,조병천,청보,1,6,0,30,9,94.7,4.56,3.52,0.48,0.301,64.30,4.66,-1.03,2.86,2.92,0.92,1986,2314,0,0,407,99,5,53,49,48,37,0,0,3,2,0,11.8,9.1,1.30,0.275,0.338,1.44
202,20,권영호,삼성,7,7,19,38,10,146.3,4.55,3.26,0.74,0.245,81.00,2.77,3.01,3.14,3.19,0.91,1986,1551,3,1,593,121,12,47,45,74,53,3,2,6,0,0,12.5,8.9,1.40,0.228,0.298,1.19
203,21,방수원,해태,2,4,5,29,1,63.0,4.86,2.43,0.43,0.309,73.30,2.86,0.21,2.49,2.57,0.89,1986,1891,0,0,264,66,3,26,20,34,17,0,3,0,1,0,12.9,6.4,2.00,0.276,0.322,1.32
204,22,김용남,해태,0,0,2,13,2,30.7,6.46,1.76,0.59,0.398,66.40,4.70,-0.63,1.75,1.98,0.87,1986,1659,0,0,143,45,2,19,16,22,6,1,0,0,0,0,15.4,4.2,3.67,0.344,0.370,1.66
205,23,문희수,해태,7,2,0,15,11,75.0,2.64,2.88,0.24,0.269,73.20,3.00,1.23,3.06,2.91,0.82,1986,1811,0,0,299,66,2,27,25,22,24,0,3,0,0,0,7.4,8.0,0.92,0.257,0.315,1.20
206,24,윤학길,롯데,1,2,2,25,3,88.0,4.09,2.25,0.61,0.294,75.50,2.76,0.64,2.81,2.80,0.81,1986,2095,0,0,366,91,6,34,27,40,22,0,0,3,1,0,10.9,6.0,1.82,0.274,0.317,1.28
207,25,김정행,롯데,7,7,0,20,18,118.0,3.89,4.65,0.38,0.245,78.70,2.90,2.44,3.49,3.49,0.72,1986,1687,6,2,499,94,5,40,38,51,61,0,7,2,0,0,10.2,12.2,0.84,0.225,0.323,1.31
208,26,이상윤,해태,10,5,0,21,18,115.0,3.68,3.99,0.55,0.233,74.00,2.97,1.59,3.46,3.43,0.71,1986,2139,3,1,478,91,7,45,38,47,51,1,3,1,1,0,9.8,10.7,0.92,0.219,0.305,1.23
209,27,박철순,OB,5,3,0,13,7,53.3,4.89,3.71,0.51,0.272,70.50,3.54,0.32,2.86,2.96,0.65,1986,1877,1,1,220,46,3,23,21,29,22,0,0,4,0,0,13.2,10.0,1.32,0.243,0.321,1.28
210,28,계형철,OB,5,7,0,22,21,111.0,3.81,4.05,0.65,0.255,72.70,3.16,1.11,3.58,3.57,0.58,1986,1520,3,1,452,94,8,48,39,47,50,0,2,3,0,0,10.4,11.1,0.94,0.242,0.326,1.30
211,29,김태원,MBC,2,6,3,33,12,107.0,4.21,3.45,0.67,0.240,79.80,2.86,1.86,3.24,3.26,0.50,1986,1716,1,0,438,87,8,35,34,50,41,1,1,2,0,0,11.4,9.4,1.22,0.227,0.299,1.20
212,30,성낙수,빙그레,0,4,0,15,4,42.3,4.25,1.91,0.64,0.265,60.30,4.04,-0.29,2.75,2.76,0.47,1986,1934,0,0,175,39,3,22,19,20,9,0,1,2,0,0,11.4,5.1,2.22,0.245,0.286,1.13
213,31,양상문,롯데,1,2,0,21,4,37.3,5.06,2.17,0.48,0.238,86.40,1.93,1.07,2.68,2.77,0.43,1986,2012,0,0,145,27,2,8,8,21,9,0,5,2,0,0,14.5,6.2,2.33,0.213,0.263,0.96
214,32,김진욱,OB,4,6,3,28,7,81.7,4.52,4.52,0.44,0.300,68.70,4.08,-0.67,3.22,3.29,0.31,1986,1706,1,0,357,81,4,43,37,41,41,1,3,2,0,0,11.5,11.5,1.00,0.271,0.356,1.49
215,33,하기룡,MBC,6,1,0,29,13,100.7,2.15,2.77,0.45,0.306,69.90,4.11,-0.24,3.40,3.20,0.30,1986,2434,0,0,431,114,5,50,46,24,31,4,5,2,0,0,5.6,7.2,0.77,0.298,0.349,1.44
216,34,이진우,롯데,1,0,0,16,6,40.0,3.83,4.73,0.23,0.295,78.90,2.03,0.56,3.13,3.12,0.25,1986,2195,1,0,177,40,1,14,9,17,21,0,0,1,0,0,9.6,11.9,0.81,0.272,0.357,1.53
217,35,이선희,MBC,0,2,0,7,2,17.7,6.11,1.53,1.02,0.383,64.90,5.09,-0.42,2.67,2.87,0.22,1986,2149,0,0,78,25,2,12,10,12,3,0,1,0,0,0,15.4,3.8,4.00,0.347,0.364,1.58
