,#,선수명,팀명,승,패,세,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR,기록년도,플레이어 id,완투,완봉,타자,안타,홈런,실점,자책,삼진,볼넷,고4,HBP,폭투,보크,PK,삼진%,볼넷%,삼/볼,피안타율,피출루율,WHIP
24,25,김성한b,해태,1,1,0,4,1,17.3,4.15,2.60,0.52,0.218,73.90,2.08,0.39,2.91,2.94,0.28,1983,1640,1,1,71,13,1,6,4,8,5,0,1,0,0,0,11.3,7.0,1.60,0.203,0.261,1.04
25,26,황태환,OB,6,6,14,39,32,105.3,5.13,3.42,0.94,0.293,77.30,2.65,0.62,3.39,3.51,0.26,1983,2472,0,0,449,105,11,46,31,60,40,2,5,0,0,0,13.4,8.9,1.50,0.269,0.336,1.38
26,27,박철순,OB,0,1,0,4,0,10.3,3.48,3.48,0.00,0.286,71.40,3.48,0.21,2.49,2.46,0.26,1983,1877,0,0,43,10,0,4,4,4,4,0,0,0,0,0,9.3,9.3,1.00,0.256,0.326,1.35
27,28,박동경,삼성,0,1,0,12,8,22.3,1.61,2.42,0.00,0.296,62.50,4.03,-0.13,3.03,2.79,0.18,1983,1829,0,0,94,24,0,12,10,4,6,0,2,0,1,0,4.3,6.4,0.67,0.286,0.330,1.34
28,29,감사용,삼미,0,0,0,6,4,12.3,4.38,2.92,0.73,0.275,68.50,2.92,-0.01,3.08,3.12,0.08,1983,1499,0,0,51,12,1,6,4,6,4,0,0,1,0,0,11.8,7.8,1.50,0.261,0.314,1.30
29,30,유종천,삼미,1,2,0,5,1,17.0,3.71,7.41,0.00,0.375,60.00,7.94,-0.59,4.05,4.07,0.03,1983,2074,1,0,89,24,0,16,15,7,14,0,2,0,0,0,7.9,15.7,0.50,0.343,0.447,2.24
30,31,신계석,MBC,0,0,0,1,0,2.0,0.00,4.50,0.00,0.417,50.00,9.00,-0.17,3.95,3.57,0.01,1983,1970,0,0,13,5,0,3,2,0,1,0,0,0,0,0,0.0,7.7,0.00,0.417,0.462,3.00
31,32,신태중,해태,0,1,0,1,0,0.7,0.00,13.51,0.00,0.833,50.00,40.50,-0.24,6.87,6.57,-0.03,1983,1991,0,0,7,5,0,3,3,0,1,0,0,0,0,0,0.0,14.3,0.00,0.833,0.857,9.01
32,33,박석채,MBC,0,0,0,5,1,11.0,3.27,6.55,0.82,0.297,86.00,2.45,0.18,4.74,4.71,-0.15,1983,1843,0,0,51,12,1,4,3,4,8,0,0,1,1,0,7.8,15.7,0.50,0.293,0.400,1.82
33,34,천창호,롯데,7,3,0,27,12,81.7,4.19,1.32,1.32,0.286,75.90,3.42,0.03,3.67,3.67,-0.18,1983,2361,0,0,349,91,12,39,31,38,12,1,6,0,0,0,10.9,3.4,3.17,0.281,0.305,1.26
34,35,선우대영,OB,4,6,1,17,8,96.7,3.54,2.61,1.21,0.267,76.20,3.91,0.83,4.13,4.09,-0.20,1983,1932,5,1,408,97,13,45,42,38,28,0,6,1,1,0,9.3,6.9,1.36,0.266,0.317,1.29
35,36,차준섭,MBC,0,0,0,2,1,3.3,5.40,8.10,2.70,0.000,27.80,8.10,-0.24,8.18,8.37,-0.22,1983,2357,0,0,15,1,1,4,3,2,3,0,1,0,0,0,13.3,20.0,0.67,0.091,0.286,1.20
36,37,송진호,삼성,0,1,0,10,3,24.3,2.59,5.55,0.37,0.345,54.60,7.40,-1.09,4.36,4.25,-0.26,1983,1963,0,0,117,31,1,23,20,7,15,0,3,2,0,0,6.0,12.8,0.47,0.337,0.418,1.89
37,38,박정후,롯데,0,0,0,3,2,5.3,1.69,10.13,0.00,0.263,28.60,15.19,-0.68,6.92,6.76,-0.26,1983,1863,0,0,29,5,0,10,9,1,6,0,3,5,0,0,3.4,20.7,0.17,0.294,0.423,2.06
38,39,방수원,해태,3,5,3,32,7,94.0,2.97,4.69,0.48,0.289,63.80,4.98,-1.50,4.03,3.95,-0.41,1983,1891,1,0,434,101,5,62,52,31,49,0,9,3,0,0,7.1,11.3,0.63,0.276,0.360,1.60
39,40,김현재,해태,1,0,0,10,3,24.3,2.22,5.92,0.74,0.326,74.20,4.07,-0.34,5.01,4.86,-0.51,1983,1727,1,0,122,32,2,15,11,6,16,0,2,1,0,0,4.9,13.1,0.38,0.340,0.414,1.97
40,41,인호봉,삼미,1,2,0,10,4,38.0,3.32,3.79,1.42,0.250,70.20,4.26,-0.29,4.86,4.81,-0.62,1983,2211,0,0,159,36,6,22,18,14,16,0,2,1,0,0,8.8,10.1,0.88,0.257,0.333,1.37
41,42,정순명,MBC,4,3,0,13,4,59.7,2.87,4.22,1.06,0.250,74.50,3.62,0.16,4.72,4.62,-0.69,1983,2284,0,0,259,56,7,30,24,19,28,0,5,1,1,0,7.3,10.8,0.68,0.252,0.336,1.41
42,43,김상기,삼미,2,3,0,7,4,31.3,2.87,4.60,1.72,0.219,67.40,5.74,-0.39,5.74,5.64,-0.71,1983,1621,2,0,140,29,6,21,20,10,16,0,2,0,2,0,7.1,11.4,0.62,0.246,0.328,1.44
43,44,정선두,OB,3,1,0,15,8,52.0,1.56,3.46,1.04,0.233,82.50,2.60,0.79,4.73,4.49,-0.78,1983,2279,1,1,215,47,6,19,15,9,20,0,2,1,0,0,4.2,9.3,0.45,0.246,0.318,1.29
44,45,이윤섭,롯데,0,2,0,12,5,19.7,3.66,1.83,3.20,0.384,58.20,8.24,-1.22,6.54,6.49,-0.80,1983,2173,0,0,94,35,7,22,18,8,4,0,0,0,0,0,8.5,4.3,2.00,0.398,0.424,1.98
45,46,오문현,삼미,1,3,0,13,5,37.7,2.87,3.35,1.43,0.250,66.50,5.26,-0.52,5.21,5.10,-0.80,1983,2041,0,0,154,35,6,24,22,12,14,0,6,0,1,0,7.8,9.1,0.86,0.265,0.331,1.30
46,47,정성만,삼미,3,5,0,12,4,61.7,3.79,3.94,1.61,0.191,79.90,2.92,0.63,4.87,4.86,-0.80,1983,2280,2,0,253,46,11,27,20,26,27,0,0,4,0,0,10.3,10.7,0.96,0.209,0.296,1.18
47,48,김현홍,OB,2,1,1,13,6,43.3,2.49,3.53,1.45,0.286,69.90,4.15,-0.55,5.01,4.86,-0.82,1983,1728,1,1,186,49,7,27,20,12,17,0,1,1,0,0,6.5,9.1,0.71,0.297,0.361,1.52
48,49,이진우,롯데,4,9,0,27,5,85.7,3.47,4.31,1.05,0.269,68.10,4.94,-0.68,4.46,4.43,-0.82,1983,2195,0,0,371,83,10,51,47,33,41,1,6,4,0,0,8.9,11.1,0.80,0.267,0.349,1.45
49,50,장호연,OB,6,17,2,34,13,155.3,1.80,3.88,0.58,0.283,65.90,4.23,-1.25,4.19,3.98,-0.83,1983,2254,3,1,681,165,10,93,73,31,67,5,14,3,1,0,4.6,9.8,0.46,0.284,0.354,1.49
50,51,성낙수,삼성,3,2,0,19,9,55.0,3.44,2.13,1.64,0.290,71.60,4.91,-0.63,4.71,4.65,-0.88,1983,1934,0,0,234,63,10,33,30,21,13,0,5,0,0,0,9.0,5.6,1.62,0.294,0.335,1.38
51,52,엄평재,해태,0,2,0,13,9,11.0,9.82,13.09,3.27,0.270,59.10,16.36,-1.92,9.11,9.80,-0.88,1983,2024,0,0,147,34,4,25,20,12,16,0,3,2,0,0,8.2,10.9,0.75,0.270,0.350,4.55
52,53,이선희,삼성,5,13,0,29,9,127.0,3.97,4.18,1.20,0.261,74.30,3.76,0.26,4.45,4.46,-0.89,1983,2149,3,1,548,122,17,66,53,56,59,1,7,3,0,0,10.2,10.8,0.95,0.257,0.338,1.43
53,54,김덕열,롯데,0,1,0,9,5,21.7,3.74,3.74,2.49,0.288,72.80,6.23,-0.66,6.66,6.64,-0.92,1983,1593,0,0,102,27,6,17,15,9,9,0,4,0,0,0,8.8,8.8,1.00,0.307,0.371,1.66
54,55,강철원,OB,4,2,0,17,6,62.7,3.02,3.30,1.72,0.288,68.10,6.32,-1.03,5.42,5.33,-1.26,1983,1515,1,0,275,72,12,44,44,21,23,0,7,2,1,0,7.6,8.4,0.91,0.300,0.360,1.52
55,1,최동원,롯데,27,13,6,51,42,284.7,7.05,2.15,0.57,0.267,77.00,2.40,6.18,1.99,2.25,8.43,1984,2366,14,1,1132,229,18,91,76,223,68,1,14,3,0,0,19.7,6.0,3.28,0.224,0.270,1.04
56,2,김일융,삼성,16,10,3,38,25,222.0,6.28,3.16,0.28,0.287,78.10,2.27,5.63,2.05,2.23,6.75,1984,1674,14,3,907,191,7,68,56,155,78,4,6,5,1,0,17.1,8.6,1.99,0.238,0.305,1.21
57,3,장명부,삼미,13,20,7,45,33,261.0,4.99,2.27,0.69,0.292,72.80,3.30,2.70,2.73,2.77,4.88,1984,2233,15,2,1074,261,20,111,96,145,66,7,6,3,0,0,13.5,6.1,2.20,0.266,0.309,1.25
58,4,이상윤,해태,10,13,8,40,28,211.7,5.44,3.10,0.60,0.272,77.80,2.85,3.90,2.76,2.85,3.67,1984,2139,8,1,876,186,14,75,67,128,73,8,10,2,0,0,14.6,8.3,1.75,0.242,0.305,1.22
